Model,R2,MAE,RMSE
Polynomial Regression,0.9999827476145738,0.001447925433168387,0.0026305941451947165
Random Forest,0.923137415605604,2.962201483670935,5.771716185486626
SVR,0.9265823614844343,20.29330043825768,42.49971929480436
